FILE,raw_amp,a_open,a_close,X-UA-Compatible,viewport,anchor_open,anchor_close,unmatched_open,unmatched_close,changed
dvm\d11.htm,0,5,5,0,1,5,5,0,0,no
dvm\d12.htm,0,0,0,0,0,0,0,0,0,no
dvm\d2.htm,0,1,1,0,0,1,1,0,0,no
dvm\d3.htm,0,0,0,0,1,0,0,0,0,no
dvm\d4.htm,0,5,5,0,1,5,5,0,0,no
dvm\d5.htm,0,5,5,0,1,5,5,0,0,no
dvm\d6.htm,0,0,0,0,0,0,0,0,0,no
dvm\d7.htm,0,5,5,0,1,5,5,0,0,no
dvm\d8.htm,0,5,5,0,1,5,5,0,0,no
dvm\d9.htm,0,0,0,0,0,0,0,0,0,no
dvm\index.htm,0,1,1,0,0,1,1,0,0,no
dvm\ogl_dvm.htm,0,16,16,0,1,16,16,0,0,no
e_mail.htm,0,3,3,0,1,3,3,3,0,yes
employees.html,0,0,0,0,0,0,0,0,0,no
esenin.htm,0,1,1,0,1,1,1,0,0,no
ethics.htm,0,1,1,0,0,1,1,0,0,no
ezs.htm,0,2,2,0,1,2,2,0,0,no
fdgfg.htm,0,259,259,0,1,259,259,159,0,yes
feoktist.htm,0,4,4,0,1,4,4,3,0,yes
flach\index (3).html,0,0,0,0,1,0,0,0,0,no
flach\index.html,0,0,0,0,1,0,0,0,0,no
flach\ivan7 (3).html,0,0,0,0,1,0,0,0,0,no
flach\ivan7.html,0,0,0,0,1,0,0,0,0,no
fndrus.htm,0,0,0,0,1,0,0,0,0,no
foto.htm,0,0,0,0,1,0,0,0,0,no
g_mir.htm,0,4,4,0,1,4,4,4,0,yes
gag_biog.htm,0,55,55,0,1,55,55,0,0,no
gala.htm,0,1,1,0,1,1,1,0,0,no
galaxy\galactik (3).htm,0,5,5,0,1,5,5,5,0,yes
galaxy\galactik.htm,0,0,0,0,1,0,0,0,0,no
galaxy\galactik2 (3).htm,0,7,7,0,1,7,7,6,0,yes
galaxy\galactik2.htm,0,2,2,0,1,2,2,0,0,no
gar.htm,0,2,2,0,1,2,2,1,0,yes
gar2.htm,0,3,3,0,1,3,3,0,0,no
gb2007.htm,0,1,1,0,1,1,1,0,0,no
getblob.htm,0,0,0,0,0,0,0,0,0,no
gk_shalamov.htm,0,0,0,0,1,0,0,0,0,no
gkg\g1.htm,0,21,21,0,1,21,21,0,0,no
gkg\g2.htm,0,12,12,0,1,12,12,0,0,no
gkg\g23.htm,0,9,9,0,1,9,9,0,0,no
gkg\g24.htm,0,8,8,0,1,8,8,0,0,no
gkg\g25.htm,0,11,11,0,1,11,11,0,0,no
gkg\g26.htm,0,10,10,0,1,10,10,0,0,no
gkg\g27.htm,0,12,12,0,1,12,12,0,0,no
gkg\g3.htm,0,6,6,0,1,6,6,2,0,yes
gkg\g4.htm,0,15,15,0,1,15,15,0,0,no
gkg\g5.htm,0,16,16,0,1,16,16,5,0,yes
gkg\pred.htm,0,1,1,0,1,1,1,0,0,no
gkg\zakl.htm,0,1,1,0,1,1,1,0,0,no
gkg\zhukov.htm,0,19,19,0,1,19,19,0,0,no
glazunov.htm,0,0,0,0,1,0,0,0,0,no
global.htm,0,1,1,0,1,1,1,0,0,no
gmr.htm,0,1,1,0,1,1,1,0,0,no
goose.htm,0,1,1,0,1,1,1,0,0,no
gossluzba.htm,0,0,0,0,1,0,0,0,0,no
gp.htm,0,3,3,0,1,3,3,0,0,no
gum_razm.htm,0,1,1,0,1,1,1,0,0,no
hjd.htm,0,18,18,0,1,18,18,1,0,yes
i_vb_99.htm,0,0,0,0,1,0,0,0,0,no
igzag.htm,0,0,0,0,1,0,0,0,0,no
ii.htm,0,13,13,0,1,13,13,6,0,yes
ii_kbb.htm,0,3,3,0,1,3,3,0,0,no
index.htm,0,22,22,0,1,22,22,0,0,no
instrum.htm,0,0,0,0,1,0,0,0,0,no
int.htm,0,0,0,0,1,0,0,0,0,no
intelligent.htm,0,0,0,0,1,0,0,0,0,no
interesi.htm,0,8,8,0,1,8,8,0,0,no
ist_geo.htm,0,0,0,0,1,0,0,0,0,no
ist_gusa.htm,0,10,10,0,1,10,10,0,0,no
iv93.htm,0,0,0,0,1,0,0,0,0,no
iz_rodin.html,0,2,2,0,1,2,2,0,0,no
izbavit.htm,0,0,0,0,1,0,0,0,0,no
jhjbh.htm,0,2,2,0,1,2,2,0,0,no
k_rus.htm,0,1,1,0,1,1,1,0,0,no
kara.htm,0,1,1,0,1,1,1,1,0,yes
kjlkj.htm,0,1,1,0,1,1,1,0,0,no
knb.htm,0,1,1,0,1,1,1,0,0,no
knbr.htm,0,0,0,0,1,0,0,0,0,no
kokorev.htm,0,0,0,0,1,0,0,0,0,no
konfer.htm,0,0,0,0,1,0,0,0,0,no
konst.htm,0,3,3,0,1,3,3,0,0,no
konst_ru.htm,0,0,0,0,1,0,0,0,0,no
kosmos.htm,0,0,0,0,1,0,0,0,0,no
kost_was.htm,0,1,1,0,1,1,1,0,0,no
kpss.htm,0,1,1,0,1,1,1,0,0,no
kr_o_sz.htm,0,3,3,0,1,3,3,0,0,no
kur.htm,0,0,0,0,1,0,0,0,0,no
kurs.htm,0,1,1,0,1,1,1,0,0,no
kursant.htm,0,1,1,0,1,1,1,1,0,yes
larisa.htm,0,1,1,0,1,1,1,0,0,no
leadership.htm,0,2,2,0,1,2,2,0,0,no
lebed.htm,0,1,1,0,1,1,1,0,0,no
leto1968.htm,0,1,1,0,1,1,1,0,0,no
lev_gum.htm,0,91,91,0,1,91,91,0,0,no
levit.htm,0,1,1,0,1,1,1,0,0,no
lica.htm,0,1,1,0,1,1,1,0,0,no
lichnost.htm,0,5,5,0,1,5,5,0,0,no
lll.htm,0,0,0,0,1,0,0,0,0,no
m220.htm,0,0,0,0,1,0,0,0,0,no
magnit.htm,0,1,1,0,1,1,1,0,0,no
mama.htm,0,2,2,0,1,2,2,0,0,no
mb.htm,0,0,0,0,1,0,0,0,0,no
medal.htm,0,0,0,0,1,0,0,0,0,no
memuar.html,0,4,4,0,1,4,4,0,0,no
metod.htm,0,0,0,0,1,0,0,0,0,no
minkin.htm,0,2,2,0,1,2,2,0,0,no
miru_mir.htm,0,0,0,0,1,0,0,0,0,no
mk.htm,0,1,1,0,1,1,1,0,0,no
mnenia.htm,0,0,0,0,1,0,0,0,0,no
moiseev.htm,0,0,0,0,1,0,0,0,0,no
mol_fw.html,0,1,1,0,1,1,1,0,0,no
mpv.htm,0,4,4,0,1,4,4,0,0,no
muchen.htm,0,1,1,0,1,1,1,1,0,yes
n_vojni.htm,0,3,3,0,1,3,3,0,0,no
nashest.htm,0,8,8,0,1,8,8,0,0,no
nat_varl.htm,0,2,2,0,1,2,2,0,0,no
nato_rus.htm,0,1,1,0,1,1,1,0,0,no
naz_dems.htm,0,0,0,0,1,0,0,0,0,no
nazia.htm,0,2,2,0,1,2,2,0,0,no
nb.htm,0,34,34,0,1,34,34,2,0,yes
nbr.htm,0,1,1,0,1,1,1,0,0,no
ne_chleb.htm,0,1,1,0,1,1,1,1,0,yes
new_rus.htm,0,0,0,0,1,0,0,0,0,no
new_zzz.htm,0,1,1,0,1,1,1,0,0,no
news_por.htm,0,0,0,0,1,0,0,0,0,no
noosfera.htm,0,1,1,0,1,1,1,0,0,no
novodvor.htm,0,1,1,0,1,1,1,0,0,no
o_svobode.htm,0,0,0,0,1,0,0,0,0,no
obama_medvedev.htm,0,0,0,0,1,0,0,0,0,no
okatovo.htm,0,1,1,0,1,1,1,0,0,no
okudgava.htm,0,0,0,0,1,0,0,0,0,no
opros_sdorov.htm,0,1,1,0,1,1,1,0,0,no
opros_svoboda.htm,0,2,2,0,1,2,2,0,0,no
otdx.htm,0,1,1,0,1,1,1,0,0,no
otez.htm,0,40,40,0,1,40,40,0,0,no
pam_vsv.html,0,0,0,0,1,0,0,0,0,no
planena.htm,0,26,26,0,1,26,26,0,0,no
poema2005.htm,0,0,0,0,1,0,0,0,0,no
poisk.htm,0,0,0,0,1,0,0,0,0,no
polldaddy.htm,0,13,13,0,1,13,13,0,0,no
polldaddy2.htm,0,13,13,0,1,13,13,0,0,no
